company,total_sites,inspected,inspector_problem,silt,inlet,gravel,veg,general,enforced,problem_no_enforcement
CONSOLIDATED PIPE AND SUPPLY CO,1,1,1,0,0,0,0,1,0,1
CONSTRUCTION SOUTH INC,1,1,0,0,0,0,0,0,1,0
COTTAGE LANE FAIRHOPE LLC,1,1,1,1,0,0,0,1,0,1
COTTON CONSTRUCTION,1,0,0,0,0,0,0,0,0,0
COUNTRY CLUB OF BIRMINGHAM,1,0,0,0,0,0,0,0,0,0
CREEK INDIAN ENTERPRISE DEVELOPMENT AUTHORITY,1,1,1,0,1,0,1,1,0,1
CROSS BAPTIST CHURCH OF EUFAULA AL INC,1,1,0,0,0,0,0,0,0,0
CROSSLAND CONSTRUCTION COMPANY INC,1,1,1,1,0,0,1,0,0,1
CULLMAN REIP LLC,1,1,0,0,0,0,0,0,0,0
CUNNINGHAM DELANEY INC,1,1,1,0,0,0,1,0,1,0
CURTIS WHITE COMPANIES INC,1,0,0,0,0,0,0,0,0,0
DAN JERR LLC,1,1,1,0,0,0,0,1,0,1
DANIEL LANG,1,0,0,0,0,0,0,0,0,0
DANIEL PATRICK FLEMING,1,0,0,0,0,0,0,0,0,0
DAPHNE COMMERCIAL PROPERTIES LLC,1,1,1,0,0,0,0,1,0,1
DAT HOLDINGS LLC,1,1,0,0,0,0,0,0,0,0
DCA RANGELINE LLC,1,1,0,0,0,0,0,0,0,0
DEBRA JAKEL,1,1,0,0,0,0,0,0,1,0
DENNIS J BALDWIN,1,1,1,0,0,0,0,1,0,1
DIXIELAND STORAGE LLC,1,1,0,0,0,0,0,0,1,0
DL ACTON CONSTRUCTION CO INC,1,1,0,0,0,0,0,0,0,0
DOMINGO GIANNONI,1,1,1,0,0,0,0,1,0,1
DON AND MARY ADCOCK,1,1,1,0,0,0,1,1,0,1
DONNIE ALLEN ENTERPRISES LLC,1,1,0,0,0,0,0,0,0,0
DOUTHIT CONSTRUCTION INC,1,1,1,0,0,0,0,1,0,1
DP HWY 72 LLC,1,1,1,0,0,0,0,1,0,1
DREW CUNNINGHAM,1,0,0,0,0,0,0,0,0,0
DUBBERLY GENERAL CONTRACTOR LLC,1,1,1,0,0,0,0,1,1,0
DULARI JENSEN SMITH,1,0,0,0,0,0,0,0,0,0
DUNNAWAY CORPORATION,1,1,0,0,0,0,0,0,0,0
E AND R PROPERTIES INC,1,1,1,0,0,0,0,1,0,1
ELITE REAL ESTATE SOLUTION LLC,1,1,1,1,1,0,0,1,0,1
ELMER VICK PRIVATE RESIDENCE,1,1,1,1,0,0,0,1,0,1
EMMANUELS FAITH CENTER,1,1,1,0,0,0,0,1,0,1
EMW CONSTRUCTION INC,1,1,1,0,0,0,0,1,1,0
ENCORE CHRYSLER DODGE JEEP RAM,1,1,0,0,0,0,0,0,1,0
ENGEL REALTY COMPANY LLC,1,0,0,0,0,0,0,0,0,0
ERIC MCKINLEY,1,1,0,0,0,0,0,0,1,0
ESTATES AT KENDAL LTD THE,1,1,1,0,0,0,0,1,0,1
EXPRESS OIL CHANGE LLC 790,1,1,1,0,0,0,0,1,0,1
FAREWAY 1 GUNTERSVILLE LLC,1,1,0,0,0,0,0,0,1,0
FARRIS PROPERTIES LLC,1,0,0,0,0,0,0,0,0,0
FERRELGAS LP,1,0,0,0,0,0,0,0,0,0
FH AND H LLC,1,0,0,0,0,0,0,0,0,0
FIRST BAPTIST CHURCH CENTER STAR,1,1,1,0,0,0,0,1,0,1
FIRST BAPTIST UNION GROVE,1,1,1,0,0,0,0,1,0,1
FIRST CREEK FARMS,1,0,0,0,0,0,0,0,0,0
FIRST HORIZON INC,1,1,1,1,1,1,1,1,1,0
FKC CULLMAN,1,1,0,0,0,0,0,0,0,0
FLINT WAVAHO,1,1,1,0,0,0,0,1,0,1
FM HOLDING LLC,1,0,0,0,0,0,0,0,0,0
FOLEY SPORTWORLD USA RESORT DEVELOPMENT,1,0,0,0,0,0,0,0,0,0
FOSCO LLC,1,1,1,0,0,0,0,1,0,1
FREEDOM FUELS LLC,1,1,0,0,0,0,0,0,0,0
FRIENDSHIP WATER WORKS,1,0,0,0,0,0,0,0,0,0
FSCU MADISON BOULEVARD BRANCH,1,1,1,0,0,0,0,1,0,1
GARNER PROPERTY LLC,1,1,1,0,0,0,0,1,0,1
GEORGE W CARLIS,1,1,0,0,0,0,0,0,0,0
GLENCOE DEVELOPMENT LLC,1,1,1,0,0,0,0,1,0,1
GLENDA Y NORRIS,1,1,0,0,0,0,0,0,0,0
GLH HOME BUILDERS LLC,1,1,1,1,1,0,0,1,0,1
GO MEDICAL GROUP,1,1,1,0,0,0,0,1,1,0
GREENVILLE AL DT LLC,1,1,1,0,0,0,0,1,0,1
GREYSTONE ALABAMA LLC,1,1,1,1,1,0,1,1,0,1
GROUP 1 AUTOMOTIVE,1,1,1,0,0,0,0,1,0,1
GULF DREAMS INC,1,1,1,0,0,0,0,1,1,0
GUTHRIE REAL ESTATE,1,1,1,0,0,0,0,1,0,1
H AND H ENTERPRISES INC,1,1,1,1,0,1,1,1,1,0
HAIER US APPLIANCE SOLUTIONS INC,1,0,0,0,0,0,0,0,0,0
HERITAGE PLANTATION LLC,1,1,0,0,0,0,0,0,1,0
HIGHLANDS DAY SCHOOL FOUNDATION THE,1,0,0,0,0,0,0,0,0,0
HILL CONSTRUCTION CO LLC,1,0,0,0,0,0,0,0,1,0
HILLCREST HOLDINGS LLC,1,0,0,0,0,0,0,0,0,0
HUFFMAN FARRIS CONSTRUCTION LLC,1,0,0,0,0,0,0,0,0,0
HUNTER HOMES LLC,1,0,0,0,0,0,0,0,0,0
IRAS DEVELOPMENT COMPANY LLC,1,1,1,0,0,0,0,1,0,1
IRON GATE COMMERCIAL HOLDINGS,1,0,0,0,0,0,0,0,0,0
J MANIFOLD CONSTRUCTION,1,0,0,0,0,0,0,0,0,0
JACKS FAMILY RESTAURANT ADDISON,1,0,0,0,0,0,0,0,0,0
JACKS FAMILY RESTAURANT MUSCLE SHOALS,1,1,1,0,0,0,0,1,0,1
JACOBS WELL LLC,1,1,1,0,0,0,0,1,0,1
JAMES HARDIE BUILDING PRODUCTS INC,1,1,0,0,0,0,0,0,1,0
JAMES MCDONALD,1,0,0,0,0,0,0,0,0,0
JCW MOBILE LLC,1,1,0,0,0,0,0,0,0,0
JEFF STONE,1,0,0,0,0,0,0,0,0,0
JEREMY LAMI,1,0,0,0,0,0,0,0,0,0
JEROME WILLIAMS,1,1,0,0,0,0,0,0,0,0
JERRY CLIFTON,1,1,0,0,0,0,0,0,1,0
JESSICA STOKES,1,1,1,1,1,0,0,1,0,1
JG BROS CONSTRUCTION INC,1,1,0,0,0,0,0,0,1,0
JIM SMITH CUSTOM BUILDER LLC,1,1,1,0,0,1,0,0,0,1
JOE COVINGTON,1,1,0,0,0,0,0,0,1,0
JOHN DAVISTON,1,0,0,0,0,0,0,0,0,0
JOHN GOWAN LENAGHAN,1,1,1,1,0,0,0,1,0,1
JOHN HUFF,1,0,0,0,0,0,0,0,0,0
JOHNSON S FERRY SUBDIVISION,1,0,0,0,0,0,0,0,0,0
JOSEPH FOUNTAIN,1,1,1,1,1,1,1,1,1,0
JROK INC,1,0,0,0,0,0,0,0,0,0
JUSTIN SHEPHERD CONSTRUCTION,1,0,0,0,0,0,0,0,0,0
KIMBER MANUFACTURING INC,1,1,0,0,0,0,0,0,1,0
KOCH FARMS LLC HATCHERY,1,0,0,0,0,0,0,0,0,0
KOCH FOODS INC,1,0,0,0,0,0,0,0,0,0
KUDZU VENTURES LLC,1,1,1,1,0,0,0,0,0,1
LAKE HARBOR LLC,1,1,0,0,0,0,0,0,1,0
LAKE MARTIN INVESTMENT GROUP,1,1,0,0,0,0,0,0,1,0
LANCASTER PROPERTY GROUP LLC,1,1,1,1,0,0,1,0,0,1
LANDING AT SOUTH LLC THE,1,1,1,0,0,0,0,1,1,0
LARRY ALEXANDER,1,1,1,0,0,0,1,1,1,0
LEAF RIVER GROUP LLC,1,1,1,0,0,0,1,1,0,1
LIBERATION PROPERTIES LLC,1,1,1,0,0,0,0,1,0,1
LIFESTYLE HOMES OF ALABAMA LLC,1,1,1,1,1,0,1,1,0,1
LOF PROPERTIES INC,1,1,1,0,0,1,1,0,1,0
LOHR NORTH AMERICA,1,1,1,0,0,0,0,1,0,1
LONE WESTERN STAR DEVELOPMENT LLC,1,0,0,0,0,0,0,0,0,0
LONG LEWIS OF THE RIVER REGION INC,1,1,0,0,0,0,0,0,0,0
LP VESTAVIA LLC,1,0,0,0,0,0,0,0,0,0
LSF FUND II FULTONDALE LLC,1,1,1,0,0,0,0,1,0,1
MADISON DOTHAN,1,1,1,0,0,0,0,1,1,0
MADISON LAND RESOURCES LLC,1,1,0,0,0,0,0,0,1,0
MAGNOLIA LAND COMAPANY,1,1,1,1,0,0,0,1,0,1
MANSA BHM LLC,1,1,1,0,1,0,1,1,0,1
MARK ALDRIDGE CONSTRUCTION INC,1,1,1,0,0,0,0,1,0,1
MARK HAMM,1,0,0,0,0,0,0,0,0,0
MARQUEE CUSTOM HOME BUILDERS LLC,1,1,0,0,0,0,0,0,0,0
MARSHALL COUNTY RSVP INC,1,1,1,0,0,0,0,1,0,1
MAX LAND AND HOMES INC,1,1,1,1,0,0,1,0,1,0
MAXVISION RUGGED PORTABLE COMPUTERS LLC,1,1,1,0,0,0,1,1,0,1
MCCARTHY,1,1,0,0,0,0,0,0,0,0
MCDONALDS RESTAURANT,1,1,1,0,0,1,1,0,0,1
MCINTYRE HOMEBUILDERS LLC,1,1,0,0,0,0,0,0,0,0
MCMATH PROPERTIES LLC,1,1,1,1,1,1,1,1,1,0
MCPHERSON CHICKEN HOUSE,1,0,0,0,0,0,0,0,0,0
MCVAY CONSTRUCTION,1,1,1,0,0,0,0,1,0,1
MEDS INC,1,1,1,0,0,0,0,1,0,1
MGM INVESTMENT GROUP LLC,1,1,0,0,0,0,0,0,0,0
MICHAEL BRIDGMAN,1,1,0,0,0,0,0,0,1,0
MICHAEL G MILLS,1,1,0,0,0,0,0,0,1,0
MICHAEL TUCKER,1,1,1,1,0,0,1,0,1,0
MILLENIUM BUILDERS INC,1,1,1,1,0,0,0,1,1,0
MITCHUM INC,1,1,0,0,0,0,0,0,0,0
MOBILE APPLIANCE,1,1,0,0,0,0,0,0,0,0
MOORE CONTRACTING LLC,1,1,1,0,0,0,0,1,1,0
MOORES PLACE LLC,1,0,0,0,0,0,0,0,0,0
MORGAN STORAGE LLC,1,1,1,0,0,0,1,1,1,0
MR AND MRS A G MALZAHN III,1,0,0,0,0,0,0,0,0,0
MW INDUSTRIAL SERVICES INC,1,1,1,0,0,0,0,1,0,1
NATHAN UPSHAW,1,1,1,0,0,0,0,1,0,1
NEMAK USA INC,1,0,0,0,0,0,0,0,0,0
NEST HOLDINGS LLC,1,1,1,0,0,0,0,1,0,1
NEWCASTLE DEVELOPMENT ENTERPRISES LLC,1,0,0,0,0,0,0,0,0,0
NICOL POINT JOINT VENTURE,1,0,0,0,0,0,0,0,0,0
NOBEL HOTELS LLC,1,1,0,0,0,0,0,0,0,0
NORTH STATE ENVIRONMENTAL,1,0,0,0,0,0,0,0,0,0
NORTHERN VILLAGE AT ROSS PARK LLC,1,1,0,0,0,0,0,0,0,0
NORTHPORT SELF STORAGE LLC,1,1,1,0,0,0,0,1,0,1
NORTON NEW HOMES LLC,1,0,0,0,0,0,0,0,0,0
NULL JONES LLC,1,1,1,0,0,0,0,1,0,1
OAKLEY LINDSEY DEVELOPEMENT LLC,1,1,1,0,0,0,0,1,0,1
OLD SOUTH HOMEBUILDERS LLC,1,1,1,0,0,0,0,1,0,1
OLDE WORLD BUILDERS LLC,1,0,0,0,0,0,0,0,0,0
OM TUSCALOOSA LLC,1,0,0,0,0,0,0,0,0,0
OPELIKA ROAD LLC,1,0,0,0,0,0,0,0,0,0
ORCHARD VIEW APARTMENTS,1,1,1,0,0,0,0,1,0,1
ORDNER CONSTRUCTION COMPANY,1,1,0,0,0,0,0,0,0,0
ORTHOSPORTS ENTERPRISES LLC,1,1,1,0,0,0,0,1,0,1
OWINVESTMENTS LLC,1,1,0,0,0,0,0,0,1,0
P3 LAND INVESTMENTS LLC,1,1,1,0,0,0,0,1,0,1
PARMER DEVELOPMENT,1,1,0,0,0,0,0,0,1,0
PATRICK PRYOR,1,1,0,0,0,0,0,0,1,0
PAUL DAVIS,1,1,1,0,0,0,0,1,0,1
PAWMS PET RESORT,1,0,0,0,0,0,0,0,0,0
PEACHTREE CONSTRUCTION,1,1,1,1,0,0,1,1,0,1
PEAKS OF DOTHAN THE,1,1,1,0,0,0,0,1,1,0
PEYTON RIDGE VILLAGE APARTMENTS,1,1,1,0,0,0,0,1,0,1
PINE LANE PARK LLC,1,1,1,0,1,0,1,1,0,1
PIPER LLC,1,1,1,0,0,0,0,1,0,1
PLC PARTNERS LLC,1,1,1,0,0,0,1,1,1,0
PLEASANT GROVE DG LLC,1,0,0,0,0,0,0,0,0,0
POLY THREE LLC,1,1,0,0,0,0,0,0,0,0
PRA PROPERTIES LLC,1,1,0,0,0,0,0,0,0,0
PROPIEDADES SARALAND LLC,1,1,0,0,0,0,0,0,0,0
PROVIDENCE PARTNERS LLC,1,1,1,0,0,0,0,1,1,0
PYTHOGE LLC,1,1,0,0,0,0,0,0,1,0
QUINTUSSA PROPERTIES LLC,1,1,0,0,0,0,0,0,1,0
RACE CANNON DEVELOPMENT LLC,1,0,0,0,0,0,0,0,0,0
RAM PRATTVILLE HOSPITALITY LLC,1,1,0,0,0,0,0,0,0,0
RANDALL CHAPMAN,1,1,1,0,0,0,0,1,0,1
RAYMOND STEWART,1,1,0,0,0,0,0,0,1,0
RBJ BAILEY LLC,1,0,0,0,0,0,0,0,0,0
REA VENTURES LLC,1,1,1,0,0,0,0,1,0,1
REGISTER HOLDINGS INC,1,1,1,1,0,0,1,1,1,0
REIDCO GENERAL CONTRACTING INC,1,1,0,0,0,0,0,0,0,0
REX LUMBER TROY LLC,1,1,0,0,0,0,0,0,1,0
RICHARD PINCKARD,1,0,0,0,0,0,0,0,0,0
RIVER REGION MEDICAL HOLDINGS LLC,1,1,0,0,0,0,0,0,1,0
ROBERT AND SUE RAGAN,1,0,0,0,0,0,0,0,0,0
ROBERT ROSS JR,1,1,0,0,0,0,0,0,0,0
ROBERT SHEPARD,1,1,1,0,0,0,0,1,0,1
RODDY SANDERS,1,0,0,0,0,0,0,0,0,0
RON FOUST SUBDIVISION,1,1,0,0,0,0,0,0,1,0
RUDY JAMES,1,1,1,0,0,0,0,1,0,1
RV COLLISION,1,1,0,0,0,0,0,0,0,0
RYAN COMPANY THE,1,1,0,0,0,0,0,0,0,0
SAGE DEVELOPMENT GROUP,1,1,1,1,0,0,0,1,0,1
SANCTUARY ON LAKE MARTIN LLC THE FKA JIM BLACK LLC,1,1,0,0,0,0,0,0,0,0
SANDRAS PROPERTIES LLC,1,0,0,0,0,0,0,0,0,0
SAWGRASS PROPERTIES LLC,1,1,1,1,1,1,1,0,0,1
SCANNELL PROPERTIES 319 LLC,1,0,0,0,0,0,0,0,0,0
SEVILLA PLACE APARTMENTS LLC,1,1,1,0,0,0,1,1,0,1
SHAUB CONSTRUCTION COMPANY INC,1,1,1,0,0,0,0,1,0,1
SHELBY INVESTMENTS LLC,1,1,1,1,1,1,1,1,1,0
SHELTON CONSTRUCTION INC,1,1,1,0,0,0,0,1,0,1
SHERRILL CONSTRUCTION CO LLC,1,1,1,0,0,0,1,0,0,1
SHINE TIME SUPER WASH,1,1,1,1,0,0,0,1,0,1
SIEMENS CORPORATION,1,1,1,0,0,0,0,1,0,1
SJBS PROPERTIES,1,1,0,0,0,0,0,0,1,0
SOLBERG PROPERTIES A TENNESSEE GENERAL PARTNERSHIP,1,1,1,0,0,0,0,1,0,1
SOLID WASTE DISPOSAL AUTHORITY OF CITY OF HUNTSVILLE THE,1,1,1,0,0,0,0,1,0,1
SOUTH ASH HOLDINGS LLC,1,0,0,0,0,0,0,0,0,0
SOUTH HICKORY INC,1,1,1,0,0,0,0,1,0,1
SOUTHEASTERN SHIPPING SUPPLIES LLC,1,1,1,0,0,0,0,1,0,1
SOUTHERN HOME FRAMING LLC,1,1,1,1,0,0,0,0,0,1
SOUTHSIDE EXCAVATING COMPANY INC,1,0,0,0,0,0,0,0,0,0
SPANISH FORT WATER SYSTEM INC,1,1,1,1,0,0,0,0,0,1
SPEEDY TIRE AND SERVICE INC,1,1,1,0,0,0,0,1,0,1
SPIRE CONSTRUCTION,1,0,0,0,0,0,0,0,0,0
SPIRE CORPORATION,1,0,0,0,0,0,0,0,0,0
SPRING CREEK PROPERTIES LLC,1,1,1,1,1,0,1,1,1,0
SS MADISON LLC,1,1,1,0,0,0,0,1,0,1
ST WILLIAM CATHOLIC CHURCH,1,0,0,0,0,0,0,0,0,0
STAFFCO LLC ALABAMA GULF COAST MUSIC HALL,1,1,1,0,0,0,0,1,0,1
STERLING SPECIALTY CHEMICALS US LLC,1,0,0,0,0,0,0,0,0,0
STEVE MADDOX,1,1,0,0,0,0,0,0,1,0
STORAGE CHOICE LLC,1,0,0,0,0,0,0,0,0,0
STRAIN CONSTRUCTION,1,0,0,0,0,0,0,0,0,0
SUNBELT FOREST VENTURES LLC,1,1,0,0,0,0,0,0,1,0
SUNVIEW PARTNERS LLC,1,1,1,0,0,0,0,1,1,0
SUPERIOR RV,1,1,1,0,0,0,0,1,0,1
TALLADEGA COUNTY SCHOOLS,1,1,1,0,0,0,0,1,0,1
TALLY WHITE,1,1,1,1,0,0,0,1,0,1
TARA HUBBARD CONSTRUCTION,1,1,0,0,0,0,0,0,1,0
TDC DEVELOPMENT CORPORATION,1,1,0,0,0,0,0,0,0,0
TECHLINE,1,1,1,1,1,0,0,0,0,1
TEXAS ROADHOUSE HOLDINGS LLC,1,1,0,0,0,0,0,0,0,0
THA JACKSON II APARTMENTS LTD,1,1,1,0,0,0,0,1,0,1
THE STEWART PERRY COMPANY INC,1,1,1,0,0,0,0,1,0,1
THEODORE INDUSTRIAL PORT,1,0,0,0,0,0,0,0,0,0
THIRTY ONE CONSTRUCTION LLC,1,0,0,0,0,0,0,0,0,0
THOMASVILLE REGIONAL MEDICAL CENTER LLC,1,1,0,0,0,0,0,0,0,0
THOMPSON PROPERTIES LLC,1,1,1,0,0,0,0,1,0,1
TIFFIN MOTORHOMES INC,1,1,1,1,0,0,0,1,1,0
TIGER CREEK DEVELOPMENT INC,1,1,0,0,0,0,0,0,1,0
TINA BOWEN,1,1,1,1,0,1,0,0,0,1
TOLLESON CONSTRUCTION LLC,1,1,1,0,0,0,0,1,1,0
TORCH 85 TRAVEL CENTER LLC,1,1,1,0,0,0,1,0,1,0
TOWNSEND NISSAN,1,0,0,0,0,0,0,0,0,0
TRI STATE BUILDERS INC,1,1,1,0,0,0,0,1,1,0
TRINITY LAKE GP INC,1,1,0,0,0,0,0,0,1,0
TROJAN PARK LLC,1,1,0,0,0,0,0,0,1,0
TRULAND HOME LLC,1,1,1,0,0,0,0,1,0,1
ULTRA MANUFACTURING USA INC,1,1,1,0,0,0,0,1,0,1
UNIPRES ALABAMA INC,1,0,0,0,0,0,0,0,0,0
VALLEY SENIOR VILLAGE LTD,1,1,0,0,0,0,0,0,1,0
VAN ANTWERP PARK LLC,1,1,0,0,0,0,0,0,0,0
VANCE MCCOWN CONSTRUCTION COMPANY INC,1,1,1,0,0,0,0,1,0,1
VANCE MCCOWN CONSTRUCTION INC,1,1,1,1,0,0,0,1,1,0
VESTAVIA HILLS CITY BOARD OF EDUCATION,1,1,1,0,0,0,0,1,0,1
VILLAGE AT KOWALIGA BAY LLC THE,1,1,0,0,0,0,0,0,0,0
VILLAGE AT ROCK SPRINGS LTD,1,0,0,0,0,0,0,0,0,0
VILLAGE LAKE CLUB LLC THE,1,1,0,0,0,0,0,0,0,0
VISION HOSPITALITY GROUP,1,0,0,0,0,0,0,0,0,0
WADSWORTH OIL COMPANY OF CLANTON INC,1,0,0,0,0,0,0,0,0,0
WAITES CONSTRUCTION,1,1,1,0,0,0,1,1,0,1
WALKER BAILEY CONSTRUCTION LLC,1,1,0,0,0,0,0,0,0,0
WATFLOWER LLC,1,1,0,0,0,0,0,0,1,0
WAVERLY WAY LLC,1,1,0,0,0,0,0,0,1,0
WAYNE SHAW,1,1,1,1,0,1,0,1,1,0
WCA OF ALABAMA LLC,1,1,0,0,0,0,0,0,0,0
WEDGWORTH REALTY INC,1,1,1,0,0,0,0,1,0,1
WELLBORN CABINET INC,1,0,0,0,0,0,0,0,0,0
WEST SIDE COTTAGES LLC,1,0,0,0,0,0,0,0,0,0
WESTCHESTER DEVELOPEMENT,1,0,0,0,0,0,0,0,0,0
WEYGAND CORNERS LLC,1,1,1,0,0,0,0,1,0,1
WHITEWATER VILLAGE LTD,1,1,1,1,0,0,0,1,1,0
WHITNEY M BRIONES,1,1,0,0,0,0,0,0,1,0
WILL HOBSON,1,0,0,0,0,0,0,0,0,0
WILLIAMS BROWN CONSTRUCTION,1,1,0,0,0,0,0,0,1,0
WIREGRASS CONSRTUCTION CO INC,1,0,0,0,0,0,0,0,0,0
WISE PROPERTIES LLC,1,1,1,0,0,0,0,1,0,1
WOERNER LAND LLC,1,1,1,0,0,0,1,0,0,1
WOMACK PROPERTY HOLDINGS LLC,1,1,1,0,0,0,0,1,0,1
WRIGHT FUNERAL HOLDINGS LLC,1,1,0,0,0,0,0,0,1,0
XPRO SUPPLY,1,1,1,1,1,1,0,1,0,1
YB HOPE HULL LLC,1,1,0,0,0,0,0,0,0,0
ZARZOUR COMPANIES,1,1,1,0,0,0,0,1,0,1
ZEN ENTERPRISES LLC,1,1,0,0,0,0,0,0,0,0
1041 STRENGTH AND CONDITIONING LLC,1,1,1,0,0,0,0,1,0,1
31 VENTURE LLC,1,1,0,0,0,0,0,0,0,0
360 MEDIA LLC,1,1,1,0,1,0,1,1,0,1
3Z HARTSELLE LLC,1,1,1,0,0,0,0,1,0,1
68V DIAMANTE 2017 LLC,1,1,1,0,1,1,1,1,0,1
ACTON ROAD STORAGE LLC,1,1,1,0,1,0,0,1,1,0
ADDISON HEIGHTS LLC,1,1,0,0,0,0,0,0,1,0
ADVANCED RESTORATION TECHNOLOGIES INC,1,0,0,0,0,0,0,0,0,0
AEE RETAIL CORPORATION,1,1,1,0,0,0,1,0,0,1
AFFORDABLE STORAGE LLC,1,1,1,0,0,0,0,1,0,1
AIR PRODUCTS AND CHEMICALS INC,1,0,0,0,0,0,0,0,0,0
AIRRITE CONTRACTORS INC,1,1,0,0,0,0,0,0,1,0
ALA SEASON LLC,1,0,0,0,0,0,0,0,0,0
ALABAMA DEPT OF MENTAL HEALTH,1,0,0,0,0,0,0,0,0,0
ALL SAFE STORAGE,1,1,0,0,0,0,0,0,1,0
ALLIANCE SAND INC,1,0,0,0,0,0,0,0,0,0
ALSTONS RENTALS INC,1,1,1,1,0,1,0,0,0,1
AMASON ASSOCIATES INC,1,1,1,0,0,0,0,1,0,1
AMERICAS AUTO AUCTION,1,1,1,0,0,0,0,1,0,1
AMERICAS HOME PLACE,1,1,1,0,0,0,0,1,0,1
AMIN CHITALWALA,1,1,0,0,0,0,0,0,1,0
ANDERSON BELCHER CONSTRUCTION INC,1,0,0,0,0,0,0,0,0,0
ANDERSON CONSTRUCTION COMPANY,1,0,0,0,0,0,0,0,0,0
ANDREW KEENUM,1,1,1,0,0,0,0,1,0,1
ANNISTON HEALTH AND REHAB SERVICES LLC,1,1,1,0,1,0,1,1,0,1
ANPR USA INC,1,1,1,0,0,0,0,1,0,1
ANTHONY NEELEY,1,1,1,0,0,0,0,1,0,1
ARAB CITY OF SEWER BOARD,1,0,0,0,0,0,0,0,0,0
ARAB LUMBER AND SUPPLY,1,1,0,0,0,0,0,0,0,0
ARDMORE TOWN OF,1,1,1,0,0,0,0,1,0,1
ARGO BUILDING COMPANY LLC,1,1,1,0,0,0,1,1,1,0
ARTHUR NETTLES,1,1,0,0,0,0,0,0,0,0
AUBURN DASH EXPRESS LLC,1,1,0,0,0,0,0,0,0,0
AUBURN FARMS HOLDINGS LLC,1,1,0,0,0,0,0,0,0,0
AUBURN OPPORTUNITY ZONE LLC,1,1,0,0,0,0,0,0,1,0
AUTO OWNERS INSURANCE,1,1,0,0,0,0,0,0,0,0
AUTOPLEX,1,1,0,0,0,0,0,0,0,0
AUTOZONE,1,1,1,0,0,0,0,1,0,1
AVENTURA ASSOCIATES LLC,1,1,1,1,1,1,1,1,1,0
B AND D DEVELOPMENTS LLC,1,1,0,0,0,0,0,0,0,0
BALDWIN COUNTY PUBLIC SCHOOLS,1,0,0,0,0,0,0,0,0,0
BALLARD AND CAMERON LLC,1,1,1,1,1,1,0,1,0,1
BALLCON INC,1,0,0,0,0,0,0,0,0,0
BARKER BROTHERS CONSTRUCTION,1,1,0,0,0,0,0,0,0,0
BARN SMITH LAKE LLC THE,1,0,0,0,0,0,0,0,0,0
BARRY CURTIS,1,1,0,0,0,0,0,0,0,0
BASH CONTRACTING,1,0,0,0,0,0,0,0,0,0
BEAVER CREEK PARTNERS,1,1,1,1,0,0,1,0,1,0
BEEKER PROPERTY GROUP LLC,1,1,1,0,0,0,0,1,0,1
BELLE MINA LAND COMPANY LLC,1,0,0,0,0,0,0,0,0,0
BEN E KEITH,1,1,1,1,0,0,1,0,1,0
BILL NEILL,1,1,1,0,0,0,0,1,0,1
BILLY A PAGE LLC,1,1,1,0,0,0,0,1,0,1
BILOBA INVESTMENT COMPANY LLC,1,1,1,1,0,0,0,1,0,1
BIRMINGHAM HOT METAL COATINGS INC,1,0,0,0,0,0,0,0,0,0
BIRMINGHAM PARKSIDE RESIDENCES LLC,1,0,0,0,0,0,0,0,0,0
BIRNUM DEVELOPMENT INC,1,1,0,0,0,0,0,0,0,0
BLACK CREEK PARTNERS INC,1,0,0,0,0,0,0,0,0,0
BLACKBERRY CREEK LLC,1,1,1,0,0,0,0,1,0,1
BLAIR HOUSE LLC,1,0,0,0,0,0,0,0,0,0
BLUE HOLE LLC,1,0,0,0,0,0,0,0,0,0
BLUE HOLES PRESERVE LLC,1,1,0,0,0,0,0,0,1,0
BLUE MARLIN INVESTMENTS LLC,1,1,1,0,0,0,1,0,0,1
BLUESCOPE BUILDINGS VARCO PRUDEN BUILDINGS,1,0,0,0,0,0,0,0,0,0
BMAD LLC,1,0,0,0,0,0,0,0,0,0
BOBO MANAGEMENT GROUP LLC,1,1,1,0,0,0,0,1,0,1
BOONE FAMILY PROPERTIES LLC,1,1,0,0,0,0,0,0,0,0
BRAD JOHNSON,1,0,0,0,0,0,0,0,0,0
BRAD KNIGHTON,1,1,1,0,0,0,0,1,0,1
BRANDON JORDAN,1,0,0,0,0,0,0,0,0,0
BREWTON HALL APARTMENTS LTD,1,1,1,0,0,0,0,1,0,1
BRIDGESTONES RETAIL OPERATIONS LLC,1,0,0,0,0,0,0,0,0,0
BRIDGEWATER AT CARY CREEK LLC,1,0,0,0,0,0,0,0,0,0
BRIDGEWATER HOLDINGS LLC,1,1,0,0,0,0,0,0,0,0
BSD DEVELOPMENT LLC,1,1,0,0,0,0,0,0,1,0
BUBBLERUN INC,1,1,1,0,0,0,0,1,0,1
BUILDING CONSTRUCTION ASSOCIATES,1,1,1,0,0,0,0,1,0,1
BULLS CONSTRUCTION GROUP LLC,1,1,1,0,0,0,0,1,0,1
C AND H CONSTRUCTION LLC,1,0,0,0,0,0,0,0,0,0
C HILL PROPERTIES LLC,1,1,1,0,0,0,0,1,0,1
CAIDEN SINCLAIR,1,0,0,0,0,0,0,0,0,0
CANAAN LAKE LLC,1,1,0,0,0,0,0,0,0,0
CAPSTONE TRUCK AND EQUIPMENT LLC,1,1,1,1,0,0,1,1,0,1
CASSANDRA CRUZEN DR,1,1,1,0,0,0,0,1,0,1
