company,total_sites,inspected,inspector_problem,silt,inlet,gravel,veg,general,enforced,problem_no_enforcement
S A GRAHAM COMPANY INC,14,5,2,0,1,0,1,1,3,1
ALABASTER CITY OF,14,7,5,2,2,2,4,5,1,4
ALEXANDER CITY CITY OF,14,6,3,1,0,0,1,2,5,1
CONCORD LAND DEVELOPMENT,14,8,5,0,0,0,0,5,4,2
DANNY CLEMENTS BUILDER INC,14,12,5,0,1,0,2,3,4,3
MURPHY OIL USA INC,14,11,6,0,1,0,0,6,0,6
NORFOLK SOUTHERN RAILWAY COMPANY,14,3,1,0,0,0,0,1,0,1
RUSSO CORPORATION,14,5,4,1,2,0,1,3,1,4
HOLLAND HOMES LLC,14,6,2,0,0,1,1,1,2,1
RYAN SHIRLEY INC,14,7,2,1,1,0,2,2,1,1
CENTENNIAL HOMES LLC,14,1,1,1,0,0,1,0,1,0
DUBOSE CONSTRUCTION COMPANY LLC,13,8,5,1,2,2,3,2,5,1
EDGAR HUGHSTON BUILDER INC,13,7,5,2,3,1,3,4,4,2
EIDSON AND ASSOCIATES INC,13,10,6,1,0,1,2,6,3,4
LUMPKIN DEVELOPMENT,13,12,11,2,1,0,8,9,5,6
MORGAN COUNTY COMMISSION,13,11,9,2,0,0,1,9,3,7
STONE MARTIN BUILDERS LLC,13,11,2,1,1,1,2,1,4,1
BIRMINGHAM AIRPORT AUTHORITY,13,1,0,0,0,0,0,0,0,0
LIMESTONE COUNTY COMMISSION,13,11,8,1,1,0,0,8,2,6
PHENIX CITY CITY OF,13,9,5,1,1,0,1,4,3,3
ST CLAIR COUNTY COMMISSION,13,8,8,0,0,0,2,8,2,6
WHALEY CONSTRUCTION CO INC,13,12,6,1,2,2,4,6,5,3
WILCOX COUNTY COMMISSION,13,2,1,0,0,0,0,1,0,1
MUSCLE SHOALS CITY OF,13,7,7,0,0,0,0,7,0,7
WESTERN REI LLC,13,9,9,5,3,3,8,6,6,3
GAME DAY ATHLETIC SURFACES INC,13,10,10,1,0,0,1,10,1,9
OREILLY AUTOMOTIVE STORES INC,13,12,9,0,0,0,1,9,0,9
EDDIE LUMPKIN,13,11,11,5,4,1,9,7,4,7
DOUBLEHEAD PROPERTIES LLC,13,5,2,0,0,0,0,2,2,1
QUIKTRIP CORPORATION,13,9,9,2,1,0,1,8,3,6
ADAMS HOMES,12,11,9,3,5,2,1,9,5,4
BEN M RADCLIFF CONTRACTOR INC,12,6,3,0,0,0,0,3,1,3
BENCHMARK HOMES INC,12,12,9,2,3,3,3,9,5,6
GRADY RALLS AND SONS INC,12,8,3,2,0,0,0,3,3,1
OXFORD CITY OF,12,5,5,2,1,1,4,4,1,4
WAL MART STORES EAST LP,12,6,6,1,0,0,1,6,1,5
BIRMINGHAM LD LLC,12,6,5,2,3,0,5,4,3,2
DOMINION CONSTRUCTION CO INC,12,4,3,2,0,0,1,2,2,1
MAPCO EXPRESS INC,12,11,10,2,1,0,1,10,1,10
TRUSSVILLE CITY OF,12,5,5,1,2,0,2,5,2,3
DILTINA DEVELOPMENT INC,12,8,6,1,1,0,0,6,1,6
VALERE LLC,12,12,9,5,2,1,2,9,4,5
WEBB BUILDERS INC,12,10,2,0,0,0,1,2,3,1
SUMMIT STRUCTURES INC,12,7,4,2,0,0,0,3,0,4
STREAMLINE ENVIRONMENTAL LLC,12,5,4,0,0,0,2,3,1,4
JS BUILDING COMPANY INC,12,7,4,0,0,0,0,4,0,4
BLANKENSHIP CONTRACTING INC,11,4,1,0,1,0,0,1,2,1
CENTRAL ALABAMA ELECTRIC COOPERATIVE,11,4,1,0,0,0,0,1,0,1
DOSTER CONSTRUCTION COMPANY INC,11,4,1,0,0,0,0,1,1,1
GEORGIA PACIFIC NAHEOLA LLC,11,0,0,0,0,0,0,0,0,0
GRAYHAWK HOMES INC,11,9,5,2,2,1,3,5,5,2
JASPER CITY OF,11,9,9,1,1,0,2,8,4,5
MARK DAVIS CONSTRUCTION INC,11,5,2,0,0,0,1,1,1,2
TALLADEGA COUNTY COMMISSION,11,2,2,0,0,0,0,2,0,2
WHITE SPUNNER CONSTRUCTION INC,11,8,2,1,1,0,1,2,0,2
ARMORY COMMISSION OF ALABAMA,11,4,3,0,0,0,0,3,1,3
BOAN CONTRACTING CO INC,11,3,0,0,0,0,0,0,0,0
BRELAND HOMES COASTAL LLC,11,11,11,5,2,5,3,8,4,7
CHILTON CONTRACTORS INC,11,3,3,1,1,0,0,2,0,3
DEVELOPMENT CONSULTING INC,11,10,6,1,1,3,2,2,2,4
HOAR CONSTRUCTION LLC,11,4,4,1,2,0,1,3,1,3
KYKENKEE INC,11,4,3,0,0,0,2,3,0,3
LAGASSE CONSTRUCTION COMPANY INC,11,4,2,0,0,0,0,2,3,1
LIMITLESS BY TRULAND HOMES LLC,11,10,8,8,6,5,2,6,2,6
LUXURY LIVING BUILDERS INC,11,9,9,5,2,1,1,8,3,6
MING ENTERPRISES LLC,11,11,7,1,0,0,0,7,2,5
MOBILE CITY OF BD WATER AND SEWER COMMMISSIONERS,11,2,0,0,0,0,0,0,1,0
SUMTER COUNTY COMMISSION,11,2,2,0,0,0,0,2,0,2
ENTERPRISE CITY OF,11,5,1,0,1,1,0,0,3,0
WHATABURGER REAL ESTATE LLC,11,10,9,2,1,0,0,8,0,9
LAKE MARTIN BUILDERS LLC,11,4,0,0,0,0,0,0,1,0
